Recettes
;2019;;2020
Type;Previsions;Realisees;Previsions
Adhesions;4 000 ;4 560 ;2 000
Subventions;4 000 ;1 000 ;4 000
Benefice TALN;4 500 ;4 500 ;0
Interets; 200; 191 ;200
Total;12 700 ;10 251 ;6 200

Depenses
;2019;;2020
Type;Previsions;Realisees;Previsions
Bourses ATALA et prix these;2 000 ;1 892 ;500
Journees ATALA et colloques;3 000 ;3 034 ;1 500
Organisation TALN;3 000 ;3 119 ;500
Revue TAL : secretariat_CR; 3 000 ;3 862 ;1 500
Missions_representation;500 ;318 ;200
Site ATALA;500 ;1 970 ;1 000
Frais banque_commissions_CB_assurance; 500 ;413 ;1 000
Provisions; 200 ;0 ;0
Total; 12 700 ;14 608 ;6 200


Benefices 2019;-4 357

Comptes au 16/06/2020
Compte courant;21 802
Livret ;25 654


